,work1,work2,|,t,q,r,|,t_prime,r_prime,|,l_t,l_q,l_r_prime,l_shift,|,phase1,phase2,iter,sign
0,10||01001010100000010111110010101010111,00000000|11000101001101000111100011111|,|,1,0,10000000343,|,0,413568799,|,1,0,29,0,|,0,0,0,0
1,10||01001010100000010111110010101010111,00000000|11000101001101000111100011111|,|,1,0,10000000343,|,0,413568799,|,1,0,29,0,|,0,0,0,0
2,10||01001010100000010111110010101010111,0000000|11000101001101000111100011111|0,|,1,0,10000000343,|,0,413568799,|,1,0,29,1,|,0,0,0,0
3,10||01001010100000010111110010101010111,000000|11000101001101000111100011111|00,|,1,0,10000000343,|,0,413568799,|,1,0,29,2,|,0,0,0,0
4,10||01001010100000010111110010101010111,00000|11000101001101000111100011111|000,|,1,0,10000000343,|,0,413568799,|,1,0,29,3,|,0,0,0,0
5,10||01001010100000010111110010101010111,0000|11000101001101000111100011111|0000,|,1,0,10000000343,|,0,413568799,|,1,0,29,4,|,0,0,0,0
6,10||01001010100000010111110010101010111,000|11000101001101000111100011111|00000,|,1,0,10000000343,|,0,413568799,|,1,0,29,5,|,0,1,0,0
7,10|1|0011001001101000101111001101100111,0000|11000101001101000111100011111|0000,|,1,16,3382899559,|,0,413568799,|,1,1,29,4,|,0,1,0,0
8,10|11|000000100011011100111101001101111,00000|11000101001101000111100011111|000,|,1,24,74349167,|,0,413568799,|,1,2,29,3,|,0,1,0,0
9,10|110|00000100011011100111101001101111,000000|11000101001101000111100011111|00,|,1,24,74349167,|,0,413568799,|,1,3,29,2,|,0,1,0,0
10,10|1100|0000100011011100111101001101111,0000000|11000101001101000111100011111|0,|,1,24,74349167,|,0,413568799,|,1,4,29,1,|,0,1,0,0
11,10|11000|000100011011100111101001101111,00000000|11000101001101000111100011111|,|,1,24,74349167,|,0,413568799,|,1,5,29,0,|,1,0,0,0
12,10|1100|0000100011011100111101001101111,0000000|11000101001101000111100011111|0,|,1,24,74349167,|,0,413568799,|,1,4,29,1,|,1,0,0,0
13,10|110|00000100011011100111101001101111,000000|11000101001101000111100011111|00,|,1,24,74349167,|,0,413568799,|,1,3,29,2,|,1,0,0,0
14,10|11|000000100011011100111101001101111,00000|11000101001101000111100011111|000,|,1,24,74349167,|,0,413568799,|,1,2,29,3,|,1,0,0,0
15,10|1|0000000100011011100111101001101111,0000|11000101001101000111100011111|0001,|,1,16,74349167,|,8,413568799,|,1,1,29,4,|,1,0,0,0
16,10||00000000100011011100111101001101111,000|11000101001101000111100011111|00011,|,1,0,74349167,|,24,413568799,|,1,0,29,5,|,1,1,0,1
17,10||00000000100011011100111101001101111,1000|11000101001101000111100011111|0001,|,1,0,74349167,|,24,413568799,|,1,0,29,4,|,1,1,0,0
18,10||00000000100011011100111101001101111,11000|11000101001101000111100011111|000,|,1,0,74349167,|,24,413568799,|,1,0,29,3,|,1,1,0,0
19,10||00000000100011011100111101001101111,011000|11000101001101000111100011111|00,|,1,0,74349167,|,24,413568799,|,1,0,29,2,|,1,1,0,0
20,10||00000000100011011100111101001101111,0011000|11000101001101000111100011111|0,|,1,0,74349167,|,24,413568799,|,1,0,29,1,|,1,1,0,0
21,000110||0011000101001101000111100011111,1000000000|100011011100111101001101111|,|,24,0,413568799,|,1,74349167,|,5,0,27,0,|,0,0,1,0
22,000110||0011000101001101000111100011111,000000000|100011011100111101001101111|1,|,24,0,413568799,|,1,74349167,|,5,0,27,1,|,0,0,1,0
23,000110||0011000101001101000111100011111,00000000|100011011100111101001101111|10,|,24,0,413568799,|,1,74349167,|,5,0,27,2,|,0,0,1,0
24,000110||0011000101001101000111100011111,0000000|100011011100111101001101111|100,|,24,0,413568799,|,1,74349167,|,5,0,27,3,|,0,1,1,0
25,000110|1|000110111011001010010101100011,00000000|100011011100111101001101111|10,|,24,4,116172131,|,1,74349167,|,5,1,27,2,|,0,1,1,0
26,000110|10|00110111011001010010101100011,000000000|100011011100111101001101111|1,|,24,4,116172131,|,1,74349167,|,5,2,27,1,|,0,1,1,0
27,000110|101|0010011111100010101011110100,1000000000|100011011100111101001101111|,|,24,5,41822964,|,1,74349167,|,5,3,27,0,|,1,0,1,0
28,000110|10|00010011111100010101011110100,001100000|100011011100111101001101111|1,|,24,4,41822964,|,25,74349167,|,5,2,27,1,|,1,0,1,0
29,000110|1|000010011111100010101011110100,01100000|100011011100111101001101111|10,|,24,4,41822964,|,25,74349167,|,5,1,27,2,|,1,0,1,0
30,000110||0000010011111100010101011110100,1111000|100011011100111101001101111|100,|,24,0,41822964,|,121,74349167,|,5,0,27,3,|,1,1,1,1
31,000110||0000010011111100010101011110100,01111000|100011011100111101001101111|10,|,24,0,41822964,|,121,74349167,|,5,0,27,2,|,1,1,1,0
32,000110||0000010011111100010101011110100,001111000|100011011100111101001101111|1,|,24,0,41822964,|,121,74349167,|,5,0,27,1,|,1,1,1,0
33,10011110||00100011011100111101001101111,00011000000|10011111100010101011110100|,|,121,0,74349167,|,24,41822964,|,7,0,26,0,|,0,0,0,0
34,10011110||00100011011100111101001101111,0011000000|10011111100010101011110100|0,|,121,0,74349167,|,24,41822964,|,7,0,26,1,|,0,1,0,0
35,10011110|1|0001111100000100111101111011,00011000000|10011111100010101011110100|,|,121,1,32526203,|,24,41822964,|,7,1,26,0,|,1,0,0,0
36,10011110||00001111100000100111101111011,0001001000|10011111100010101011110100|1,|,121,0,32526203,|,145,41822964,|,7,0,26,1,|,1,1,0,1
37,100010010||0010011111100010101011110100,100111100000|1111100000100111101111011|,|,145,0,41822964,|,121,32526203,|,8,0,25,0,|,0,0,1,0
38,100010010||0010011111100010101011110100,00111100000|1111100000100111101111011|1,|,145,0,41822964,|,121,32526203,|,8,0,25,1,|,0,1,1,0
39,100010010|1|000100011011101101101111001,100111100000|1111100000100111101111011|,|,145,1,9296761,|,121,32526203,|,8,1,25,0,|,1,0,1,0
40,100010010||0000100011011101101101111001,10100001000|1111100000100111101111011|0,|,145,0,9296761,|,266,32526203,|,8,0,25,1,|,1,1,1,1
41,0101000010||001111100000100111101111011,1000100100000|100011011101101101111001|,|,266,0,32526203,|,145,9296761,|,9,0,24,0,|,0,0,0,0
42,0101000010||001111100000100111101111011,000100100000|100011011101101101111001|1,|,266,0,32526203,|,145,9296761,|,9,0,24,1,|,0,0,0,0
43,0101000010||001111100000100111101111011,00100100000|100011011101101101111001|10,|,266,0,32526203,|,145,9296761,|,9,0,24,2,|,0,1,0,0
44,0101000010|1|00110101001001100010001001,000100100000|100011011101101101111001|1,|,266,2,13932681,|,145,9296761,|,9,1,24,1,|,0,1,0,0
45,0101000010|11|0010001101011110100010000,1000100100000|100011011101101101111001|,|,266,3,4635920,|,145,9296761,|,9,2,24,0,|,1,0,0,0
46,0101000010|1|00010001101011110100010000,101100110000|100011011101101101111001|1,|,266,2,4635920,|,411,9296761,|,9,1,24,1,|,1,0,0,0
47,0101000010||000010001101011110100010000,11010111000|100011011101101101111001|11,|,266,0,4635920,|,943,9296761,|,9,0,24,2,|,1,1,0,1
48,0101000010||000010001101011110100010000,111010111000|100011011101101101111001|1,|,266,0,4635920,|,943,9296761,|,9,0,24,1,|,1,1,0,0
49,11110101110||00100011011101101101111001,01010000100000|10001101011110100010000|,|,943,0,9296761,|,266,4635920,|,10,0,23,0,|,0,0,1,0
50,11110101110||00100011011101101101111001,1010000100000|10001101011110100010000|0,|,943,0,9296761,|,266,4635920,|,10,0,23,1,|,0,0,1,0
51,11110101110||00100011011101101101111001,010000100000|10001101011110100010000|01,|,943,0,9296761,|,266,4635920,|,10,0,23,2,|,0,1,1,0
52,11110101110|1|0000000000110000101011001,1010000100000|10001101011110100010000|0,|,943,2,24921,|,266,4635920,|,10,1,23,1,|,0,1,1,0
53,11110101110|10|000000000110000101011001,01010000100000|10001101011110100010000|,|,943,2,24921,|,266,4635920,|,10,2,23,0,|,1,0,1,0
54,11110101110|1|0000000000110000101011001,1010000100000|10001101011110100010000|0,|,943,2,24921,|,266,4635920,|,10,1,23,1,|,1,0,1,0
55,11110101110||00000000000110000101011001,010110000100|10001101011110100010000|00,|,943,0,24921,|,2152,4635920,|,10,0,23,2,|,1,1,1,1
56,11110101110||00000000000110000101011001,0010110000100|10001101011110100010000|0,|,943,0,24921,|,2152,4635920,|,10,0,23,1,|,1,1,1,0
57,0001011000010||010001101011110100010000,1111010111000000000000|110000101011001|,|,2152,0,4635920,|,943,24921,|,12,0,15,0,|,0,0,0,0
58,0001011000010||010001101011110100010000,111010111000000000000|110000101011001|1,|,2152,0,4635920,|,943,24921,|,12,0,15,1,|,0,0,0,0
59,0001011000010||010001101011110100010000,11010111000000000000|110000101011001|11,|,2152,0,4635920,|,943,24921,|,12,0,15,2,|,0,0,0,0
60,0001011000010||010001101011110100010000,1010111000000000000|110000101011001|111,|,2152,0,4635920,|,943,24921,|,12,0,15,3,|,0,0,0,0
61,0001011000010||010001101011110100010000,010111000000000000|110000101011001|1111,|,2152,0,4635920,|,943,24921,|,12,0,15,4,|,0,0,0,0
62,0001011000010||010001101011110100010000,10111000000000000|110000101011001|11110,|,2152,0,4635920,|,943,24921,|,12,0,15,5,|,0,0,0,0
63,0001011000010||010001101011110100010000,0111000000000000|110000101011001|111101,|,2152,0,4635920,|,943,24921,|,12,0,15,6,|,0,0,0,0
64,0001011000010||010001101011110100010000,111000000000000|110000101011001|1111010,|,2152,0,4635920,|,943,24921,|,12,0,15,7,|,0,0,0,0
65,0001011000010||010001101011110100010000,11000000000000|110000101011001|11110101,|,2152,0,4635920,|,943,24921,|,12,0,15,8,|,0,1,0,0
66,0001011000010|1|00101100001000010010000,111000000000000|110000101011001|1111010,|,2152,128,1446032,|,943,24921,|,12,1,15,7,|,0,1,0,0
67,0001011000010|10|0101100001000010010000,0111000000000000|110000101011001|111101,|,2152,128,1446032,|,943,24921,|,12,2,15,6,|,0,1,0,0
68,0001011000010|101|010011110010101110000,10111000000000000|110000101011001|11110,|,2152,160,648560,|,943,24921,|,12,3,15,5,|,0,1,0,0
69,0001011000010|1011|00111100111111100000,010111000000000000|110000101011001|1111,|,2152,176,249824,|,943,24921,|,12,4,15,4,|,0,1,0,0
70,0001011000010|10111|0001100010100011000,1010111000000000000|110000101011001|111,|,2152,184,50456,|,943,24921,|,12,5,15,3,|,0,1,0,0
71,0001011000010|101110|001100010100011000,11010111000000000000|110000101011001|11,|,2152,184,50456,|,943,24921,|,12,6,15,2,|,0,1,0,0
72,0001011000010|1011101|00000001001100110,111010111000000000000|110000101011001|1,|,2152,186,614,|,943,24921,|,12,7,15,1,|,0,1,0,0
73,0001011000010|10111010|0000001001100110,1111010111000000000000|110000101011001|,|,2152,186,614,|,943,24921,|,12,8,15,0,|,1,0,0,0
74,0001011000010|1011101|00000001001100110,111010111000000000000|110000101011001|1,|,2152,186,614,|,943,24921,|,12,7,15,1,|,1,0,0,0
75,0001011000010|101110|000000001001100110,11111000101000000000|110000101011001|11,|,2152,184,614,|,5247,24921,|,12,6,15,2,|,1,0,0,0
76,0001011000010|10111|0000000001001100110,1111000101000000000|110000101011001|111,|,2152,184,614,|,5247,24921,|,12,5,15,3,|,1,0,0,0
77,0001011000010|1011|00000000001001100110,110111101010000000|110000101011001|1111,|,2152,176,614,|,22463,24921,|,12,4,15,4,|,1,0,0,0
78,0001011000010|101|000000000001001100110,10001111011000000|110000101011001|11111,|,2152,160,614,|,56895,24921,|,12,3,15,5,|,1,0,0,0
79,0001011000010|10|0000000000001001100110,0011010111100000|110000101011001|111111,|,2152,128,614,|,125759,24921,|,12,2,15,6,|,1,0,0,0
80,0001011000010|1|00000000000001001100110,011010111100000|110000101011001|1111110,|,2152,128,614,|,125759,24921,|,12,1,15,7,|,1,0,0,0
81,0001011000010||000000000000001001100110,11111000011000|110000101011001|11111100,|,2152,0,614,|,401215,24921,|,12,0,15,8,|,1,1,0,1
